;total_bill;tip;sex;smoker;day;time;size;percentual_tip;number
0;16.99;1.01;Female;No;Sun;Dinner;2;5.94;1
1;10.34;1.66;Male;No;Sun;Dinner;3;16.05;1
2;21.01;3.5;Male;No;Sun;Dinner;3;16.66;1
3;23.68;3.31;Male;No;Sun;Dinner;2;13.98;1
4;24.59;3.61;Female;No;Sun;Dinner;4;14.68;1
5;25.29;4.71;Male;No;Sun;Dinner;4;18.62;1
6;8.77;2.0;Male;No;Sun;Dinner;2;22.81;1
7;26.88;3.12;Male;No;Sun;Dinner;4;11.61;1
8;15.04;1.96;Male;No;Sun;Dinner;2;13.03;1
9;14.78;3.23;Male;No;Sun;Dinner;2;21.85;1
10;10.27;1.71;Male;No;Sun;Dinner;2;16.65;1
11;35.26;5.0;Female;No;Sun;Dinner;4;14.18;1
12;15.42;1.57;Male;No;Sun;Dinner;2;10.18;1
13;18.43;3.0;Male;No;Sun;Dinner;4;16.28;1
14;14.83;3.02;Female;No;Sun;Dinner;2;20.36;1
15;21.58;3.92;Male;No;Sun;Dinner;2;18.16;1
16;10.33;1.67;Female;No;Sun;Dinner;3;16.17;1
17;16.29;3.71;Male;No;Sun;Dinner;3;22.77;1
18;16.97;3.5;Female;No;Sun;Dinner;3;20.62;1
19;20.65;3.35;Male;No;Sat;Dinner;3;16.22;7
20;17.92;4.08;Male;No;Sat;Dinner;2;22.77;7
21;20.29;2.75;Female;No;Sat;Dinner;2;13.55;7
22;15.77;2.23;Female;No;Sat;Dinner;2;14.14;7
23;39.42;7.58;Male;No;Sat;Dinner;4;19.23;7
24;19.82;3.18;Male;No;Sat;Dinner;2;16.04;7
25;17.81;2.34;Male;No;Sat;Dinner;4;13.14;7
26;13.37;2.0;Male;No;Sat;Dinner;2;14.96;7
27;12.69;2.0;Male;No;Sat;Dinner;2;15.76;7
28;21.7;4.3;Male;No;Sat;Dinner;2;19.82;7
29;19.65;3.0;Female;No;Sat;Dinner;2;15.27;7
30;9.55;1.45;Male;No;Sat;Dinner;2;15.18;7
31;18.35;2.5;Male;No;Sat;Dinner;4;13.62;7
32;15.06;3.0;Female;No;Sat;Dinner;2;19.92;7
33;20.69;2.45;Female;No;Sat;Dinner;4;11.84;7
34;17.78;3.27;Male;No;Sat;Dinner;2;18.39;7
35;24.06;3.6;Male;No;Sat;Dinner;3;14.96;7
36;16.31;2.0;Male;No;Sat;Dinner;3;12.26;7
37;16.93;3.07;Female;No;Sat;Dinner;3;18.13;7
38;18.69;2.31;Male;No;Sat;Dinner;3;12.36;7
39;31.27;5.0;Male;No;Sat;Dinner;3;15.99;7
40;16.04;2.24;Male;No;Sat;Dinner;3;13.97;7
41;17.46;2.54;Male;No;Sun;Dinner;2;14.55;1
42;13.94;3.06;Male;No;Sun;Dinner;2;21.95;1
43;9.68;1.32;Male;No;Sun;Dinner;2;13.64;1
44;30.4;5.6;Male;No;Sun;Dinner;4;18.42;1
45;18.29;3.0;Male;No;Sun;Dinner;2;16.4;1
46;22.23;5.0;Male;No;Sun;Dinner;2;22.49;1
